Quantity,Reference,Name,Description,Manufacturer,Part Number
1,,Cable,"Cable,USB A Male to MINI USB B Male,80CM,,2725 28AWG/1P+24AWG/2C",GLJ,GLJ-C4-1304
1,,BOX,BOX BB-Black Industrial box_RevC1_135x99x39mm,Opung,BOX BB-Black Industrial box_RevC1_135x99x39mm
1,,Carton,"CARTON,External Dimension430x425x325mm K838K（Add the“made in china” ）",JIDA,"CARTON,External Dimension430x425x325mm K838K（Add the“made in china” ）"
2,,FOAM,"PU Foam,12KG/m3; 125x95x8mm,black",Oupang,"PU Foam,12KG/m3; 125x95x8mm,black"
1,,QSG,BB-Black Industrial Quick Start_revc_185x125mm_128gsm bond paper,Opung,BB-Black Industrial Quick Start_revc_185x125mm_128gsm bond paper
1,,BB-Black Industrial PCBA;RevC(CN）,BB-Black Industrial PCBA;RevC(CN）,Embest,BB-Black Industrial PCBA;RevC(CN）
1,,PCB,"6 layers PCB,Red Soldermask,white Silkscreen,180 Tg/350 Td,Immersion gold,88.90*54.61mm,BB-Black Industrial PCB RevB6-2",XJX,BB-Black Industrial RevB6-2 PCB
1,U5,MPU,"IC,ARM,Cortex-A8 Microprocessors,AM3358BZCZA100,NFBGA-324,SMD,tray",TI,AM3358BZCZA100
1,U7,Memory,"IC,I2C Serial EEPROM,24LC32AT-I/OT,SOT23-5,SMD",MICROCHIP,24LC32AT-I/OT
1,U13,Memory,"IC,4GB eMMC v5.1 153-ball FBGA Ind Temp,SMD",Kingston,EMMC04G-W627-X02U
1,U12,Memory,"IC,DDR3L 4 Gb(256M x 16) DDR3/3L-1600 Mbps DRAM  FBGA-96 SMD",KINGSTON,D2516EC4BXGGBI-U
1,U2,Power management,"IC,SINGLE-CHIP PMIC FOR BATTERY-POWERED SYSTEMS,TPS65217CRSLT,VQFN48,SMD",TI,TPS65217CRSLT
1,U8,Power Management,"IC,Current-Limited Power-distribution Switches,TPS2051BDGN,8-MSOP-PowerPad,SMD",TI,TPS2051BDGN
